Date,Cardano Return,Cardano Price,Famala Index,US Treasury Yield,Famala Index Return
2018-07-04,0.0020224264145056845,0.1509599983692169,3656.256493100523,2.83,0.011049562633456892
2018-07-05,-0.013598939843461475,0.1489209979772567,3692.631720443926,2.84,0.009948762460195057
2018-07-06,-0.01923418112193865,0.1460839956998825,3732.7297155270894,2.82,0.010858920715316503
2018-07-07,0.02893708439067127,0.1503729969263076,3828.1282697538045,2.82,0.025557316360165148
2018-07-08,-0.0337059066982111,0.1453890055418014,3790.5550509449513,2.82,-0.009815036529920043
2018-07-09,-0.03797766771112029,0.1399710029363632,3809.767757612534,2.86,0.005068573443562836
2018-07-10,-0.08323655761532067,0.1287920027971267,3602.390249078104,2.87,-0.05443311029131793
2018-07-11,0.020678870633584947,0.1314830034971237,3626.3192512957235,2.85,0.006642534695885151
2018-07-12,-0.03326637427214944,0.1271809935569763,3545.7290284226665,2.85,-0.022223697718909113
2018-07-13,0.08082329864980914,0.1378870010375976,3530.2399403386653,2.83,-0.0043683789595426546
2018-07-14,-0.005782325054936084,0.1370919942855835,3555.0231018241543,2.83,0.0070202484545884725
2018-07-15,0.037018214322823116,0.1422619968652725,3578.6456538508887,2.83,0.006644837839341522
2018-07-16,0.09294176095495862,0.1561180055141449,3766.9802399207574,2.85,0.0526273356701876
2018-07-17,0.09026159999745809,0.170864999294281,4141.298694225593,2.86,0.09936830842327693
2018-07-18,0.048621560289642735,0.1793780028820037,4211.297279169861,2.88,0.016902568520804975
2018-07-19,0.008277675023542397,0.180868998169899,4317.176650046738,2.84,0.025141747033766346
2018-07-20,-0.10909700486793662,0.1621749997138977,4326.176064453675,2.89,0.0020845601504028083
2018-07-21,0.00897454638965087,0.1636369973421096,4337.509985224946,2.89,0.0026198473206850235
2018-07-22,0.039775975947666485,0.1702769994735717,4352.699884445777,2.89,0.003501985994861746
2018-07-23,-0.03738935147482669,0.1640280038118362,4613.2121617350285,2.96,0.05985073269585701
2018-07-24,0.05424813512669918,0.1731719970703125,5097.609610053835,2.95,0.10500220482741138
2018-07-25,-0.002549848435944172,0.1727309972047805,4903.2626177911225,2.94,-0.038125122779
2018-07-26,-0.04721523652543803,0.1647650003433227,4758.029075248987,2.98,-0.029619776435218077
2018-07-27,0.004692607898718001,0.1655399948358535,4914.223578464656,2.96,0.03282756383902413
2018-07-28,-0.013134068618057675,0.1633799970149994,4944.492267875782,2.96,0.006159404212655401
2018-07-29,-0.0004101442148620461,0.1633130013942718,4967.580405093112,2.96,0.004669465734092213
2018-07-30,-0.05815123546574218,0.154087,4988.724589673562,2.98,0.0042564352977098666
2018-07-31,-0.07259797844902739,0.143297,4739.901515559318,2.96,-0.04987709175794089
2018-08-01,-0.016861883402268775,0.140901,4632.343147811904,3.00,-0.02269211024624466
2018-08-02,-0.0657026631428581,0.131941,4635.408424999034,2.98,0.000661712029813236
2018-08-03,-0.01286078535605295,0.130255,4502.366195980649,2.95,-0.02870129594209659
2018-08-04,-0.021009143489562933,0.127547,4229.25422526369,2.95,-0.0606596529089017
2018-08-05,0.032201125217815194,0.131721,4235.855391701053,2.95,0.0015608346260979756
2018-08-06,-0.008906774758497507,0.130553,4176.851783981145,2.94,-0.01392956139048303
2018-08-07,-0.04044610037119421,0.125378,4113.7003476771515,2.98,-0.015119386459004486
2018-08-08,-0.09731253411710485,0.113752,3888.58820336617,2.96,-0.05472254303551633
2018-08-09,0.08227719452964213,0.123507,4052.2556814882014,2.93,0.0420891772444179
2018-08-10,-0.059651972012770955,0.116355,3841.0729397451496,2.87,-0.05211486104092385
2018-08-11,-0.03423501024432144,0.112439,3993.054769406729,2.87,0.03956754585130666
2018-08-12,0.004711444372214293,0.11297,4019.1065292493236,2.87,0.0065242680972455456
2018-08-13,-0.09326747689083711,0.10291,4114.577952185306,2.88,0.02375438974836376
2018-08-14,-0.08354533651996153,0.0946617,4064.2397282328807,2.89,-0.0122341159986262
2018-08-15,0.003992581031647872,0.0950404,4140.2129704535955,2.86,0.01869310062911761
2018-08-16,0.0030498350329288874,0.0953307,4140.580118161574,2.87,8.86784594413214e-05
2018-08-17,0.14210066566626448,0.109887,4159.796333841795,2.87,0.004640947676856594
2018-08-18,-0.09643970442464776,0.0997845,4137.584406236332,2.87,-0.005339667094938955
2018-08-19,0.02623511483288864,0.102437,4171.287508278628,2.87,0.00814559867141245
2018-08-20,-0.08847125447108549,0.0937636,4113.6755811046805,2.82,-0.013811545490356757
2018-08-21,0.013135959437761588,0.0950034,4229.44300861081,2.85,0.02814208977438153
2018-08-22,-0.052451042021151466,0.0901488,4188.977222697054,2.82,-0.00956763948145675
2018-08-23,0.025240932125950518,0.0924532,4286.249815506611,2.82,0.023221084202250532
2018-08-24,0.017414214220305337,0.0940773,4426.516203012007,2.82,0.03272473456818735
2018-08-25,0.0021756277843384166,0.0942822,4469.907762625328,2.82,0.00980264334823748
2018-08-26,-0.010068313422231627,0.0933377,4436.104805836442,2.82,-0.007562338773861528
2018-08-27,0.0715826081882129,0.100264,4517.488198016172,2.85,0.01834568743115717
2018-08-28,0.05071465417586475,0.10548,4626.589588827515,2.88,0.024150896699465622
2018-08-29,-0.00010429061062136596,0.105469,4615.586759547498,2.89,-0.0023781727487969034
2018-08-30,-0.047662506592472696,0.10056,4584.742091125729,2.86,-0.006682718802320521
2018-08-31,0.016137973778415,0.102196,4617.0706910489625,2.86,0.007051345371380754
2018-09-01,0.0443181655036439,0.106827,4685.878409310481,2.86,0.01490289468491683
2018-09-02,-0.022674561671189402,0.104432,4774.594404568857,2.86,0.01893262852960574
2018-09-03,-0.007931246782496603,0.103607,4779.918205867178,2.86,0.0011150269210776706
2018-09-04,0.015876085112153722,0.105265,4870.460501186704,2.90,0.018942226921035844
2018-09-05,-0.18404935837338618,0.0875694,4639.36063819746,2.90,-0.047449283888645936
2018-09-06,0.012443751610533356,0.0886659,4387.046731576695,2.88,-0.054385491083270704
2018-09-07,-0.05426097605052158,0.083983,4388.881410034788,2.94,0.00041820353653588047
2018-09-08,-0.07090111426335775,0.0782347,4265.193884076325,2.94,-0.02818201596326174
2018-09-09,-0.02055500619918537,0.076643,4326.711731731201,2.94,0.014423224201963483
2018-09-10,-0.041765393510496,0.0735079,4359.755991200525,2.94,0.007637268558241205
2018-09-11,-0.04159437527662625,0.0705131,4397.821144710905,2.98,0.008731028430767283
2018-09-12,-0.05492511302801509,0.0667446,4430.114452305071,2.97,0.007343024313984091
2018-09-13,0.04517170491277575,0.0698287,4463.368291961514,2.97,0.0075063161492680275
2018-09-14,-0.022894039953334392,0.0682482,4464.915353969095,2.99,0.0003466131195956727
2018-09-15,0.015608370951400944,0.0693218,4453.12497713935,2.99,-0.0026406719713652793
2018-09-16,0.00919995317517166,0.0699625,4433.16633279132,2.99,-0.004481941209934672
2018-09-17,-0.09065567240871199,0.063899,4329.264388334726,2.99,-0.02343741169557527
2018-09-18,0.08302110013814971,0.0694304,4306.047205336376,3.05,-0.00536284710652228
2018-09-19,0.04119202329962883,0.0723501,4323.5747567852095,3.08,0.0040704503720053265
2018-09-20,0.11900520012599394,0.0814934,4229.8561620197415,3.07,-0.021676182334627273
2018-09-21,0.07232402894609535,0.0876057,4225.678587843737,3.07,-0.0009876397721311652
2018-09-22,-0.05168886478547546,0.0831925,4235.537459910257,3.07,0.002333086121334889
2018-09-23,0.07590982428934291,0.0897535,4190.5823766108015,3.07,-0.010613784844298844
2018-09-24,-0.08119950597990178,0.0827536,4228.516372311632,3.08,0.00905220141060925
2018-09-25,-0.021078914616500962,0.0810275,4103.87540428383,3.10,-0.02947628838425514
2018-09-26,-0.01933351393525585,0.079476,4163.497085168428,3.06,0.014528141088874751
2018-09-27,0.07890848589992977,0.0860014,4239.719322920086,3.06,0.01830726338759376
2018-09-28,-0.023171846642385908,0.0840315,4235.702239088571,3.05,-0.0009474881532364291
2018-09-29,0.0068122755847921344,0.0846059,4151.624830022517,3.05,-0.019849697717218645
2018-09-30,0.006941090086875802,0.0851952,4157.759047869985,3.05,0.0014775462857597877
2018-10-01,-0.008556939480773235,0.0844693,4136.624568598041,3.09,-0.005083141910970266
2018-10-02,-0.0232832417445906,0.0825253,4173.676524493393,3.05,0.00895705067765175
2018-10-03,-0.02126780873292052,0.0807887,4145.681505698949,3.15,-0.006707520007876563
